0,-4.5
-0.0821476,-4.24215
-0.176717,-3.96704
-0.271923,-3.68548
-0.322984,-3.53427
-0.401608,-3.26836
-0.402185,-3.24621
-0.419046,-2.87761
-0.415752,-2.78203
-0.409232,-2.44097
-0.410983,-2.18606
-0.4157,-2.03267
-0.420979,-1.68243
-0.426873,-1.37712
-0.428642,-1.04471
-0.429061,-0.763087
-0.425677,-0.568792
-0.420169,-0.359835
-0.418242,-0.139353
-0.411183,0.155394
-0.407393,0.241682
-0.409619,0.563236
-0.408993,0.9094
-0.411123,1.09735
-0.415862,1.44342
-0.424384,1.58697
-0.415937,1.88082
-0.41595,2.18082
-0.424231,2.49337
-0.41877,2.63765
-0.412375,2.92267
-0.426222,3.14866
-0.374631,3.42489
-0.304595,3.6258
-0.231349,3.86595
-0.17025,4.04546
-0.0936765,4.30668
0,4.5
